bilayers,PF,"$\overline{M}_{int, NN}$","$\overline{N}_{p, v}$",$\overline{EA}_{int}$,"$\overline{r}_{int, NN}^{atom}$",A,$\overline{Gr}_{int}$,$\overline{R}_{int}^{cov}$,$\rho$,$\overline{\alpha}_{int}$,$\overline{\kappa}_{int}$,$d_{layer}$,Y_Eadhe
BMDS_PbBr2-PbBr2_528,2.2770169279,1441.9463040009,4,1397.9742847546,258.4055979214,16.0629914551,73.2149194111,5.0389091595,37.3331890329,90.4419592725,0.0052542472,3.68803,1.197
BMDS_SeAsI-IAsSe_303,1.9289523592,2690.233497334,4,1129.4274740994,3.8259738283,12.6769365404,65.0415550803,5.2033244064,37.1105921488,125.8745389494,0.0171786225,3.66428,1.594
BMDS_GaI2-GaI2_391,2.1425568274,346.8602014201,3.6666666667,1219.8371629641,86.7770339507,14.787788119,70.2480751029,5.6198460082,35.7574160643,135.9506865228,0.0185537563,3.59268,1.178
BMDS_CrO2-CrO2_489,2.3482014693,5578.7352105018,2.6666666667,370.1306534353,309.7547312437,5.9676684062,42.0006415246,1.680025661,24.6188786285,13.912712505,0.0007019357,2.31821,2.791
BMDS_FeCl2-FeCl2_389,2.0878249615,5573.7142166076,3.3333333333,1186.5476769526,261.7884559466,10.0103488679,57.7974513129,3.3998500772,22.1136935956,49.6378111275,0.0003025867,2.42753,1.439
BMDS_SbTe2-SbTe2_439,2.4604828388,746.9010903382,3.6666666667,784.3451158477,41.2379135567,14.7274480668,65.9806616907,5.6495941573,43.0714897396,156.7040715153,0.0969090969,3.68144,1.506
BMDS_GeO-GeO_737,1.3311320051,1747.3332830107,3,392.7949624613,116.3277388828,7.9061840531,45.3224956686,2.7797797343,21.563727825,68.4369684596,0.905343138,0.98922,0.932
BMDS_HfSe2-HfSe2_690,1.6910518335,8060.6247099267,2.6666666667,781.223567811,420.6588442059,16.0503880822,64.1003953076,4.7274041539,33.3333054839,115.7813390243,0.081728004,3.10023,1.926
BMDS_Zr2Te2-Zr2Te2_590,3.8709465721,5249.6928883644,2,710.4982334289,310.0491765226,12.0848868068,59.7685159562,5.1176791787,51.917168641,141.9502253959,0.0877850078,6.40437,3.66
BMDS_SbWBi-SbWBi_48,3.8635128305,10013.1026554601,2,327.6011653368,185.3710297688,9.8377104373,50.5557353915,4.8870544212,82.0538036912,153.3523973542,0.5421260025,4.14623,5.236
BMDS_SeBiCl-ClBiSe_174,1.756233912,1546.6637418225,4,1447.9228698928,265.5216724159,14.9063065732,70.5291942355,4.1487761315,34.0267969076,60.5721315199,0.0003692411,3.28662,1.155
BMDS_BrSbSe-BrSbSe_220,1.8898017041,2077.4531495359,4,1030.2403761347,136.8102116114,13.618641721,65.4309707707,4.6594782215,34.5189439792,98.939558832,0.0428671996,3.68175,1.452
BMDS_BaI2-BaI2_367,2.7414588686,3189.4044830504,3.3333333333,1535.533235581,717.830577609,23.4326462566,88.4284044881,7.074272359,27.5553582394,171.1349710387,0.0233555021,3.56685,0.489
BMDS_In2Te2-In2Te2_606,2.9296358876,1283.5605019588,2.5,833.4751543906,144.6092539164,16.6298823657,70.1135776564,6.0034750868,43.5288687922,166.519746934,0.1029793172,5.59455,1.679
BMDS_SbTiAs-SbTiAs_52,3.0520941065,3197.4786423948,2,306.8409030738,177.8051590659,9.933219987,50.8014740188,4.402794415,40.4574330021,123.6169201125,1.2615699381,3.81332,0.696
BMDS_BaCl2-BaCl2_478,2.8111319255,3763.4377588536,3.3333333333,1585.5139761467,790.4854780789,17.873945009,77.2313398123,4.543019989,19.4377528161,66.3280918388,0.0004043288,3.38636,0.497
BMDS_CuSe2-CuSe2_494,1.8989864992,3321.2874693133,2.6666666667,749.7957286269,161.4944646273,12.8040889648,61.5217008104,4.5372254348,30.3011404434,111.1235720888,0.0784401685,2.43605,3.101
BMDS_SbTaAs-AsTaSb_260,3.2804510959,7415.3010007318,2,262.9061263896,289.8708573013,9.8389643312,50.5588704595,4.0447096368,64.463198771,101.1177409191,1.6920368647,3.95315,6.844
BMDS_IBiSe-IBiSe_25,2.0897812416,444.2398272888,4,1047.2054019571,145.2671712221,15.8092744393,70.4973036813,5.4261561015,41.1050620472,132.0222232577,0.0531720572,3.64147,1.47
BMDS_PbCl2-PbCl2_422,2.0089066059,1884.575133019,4,1533.1034741,329.4634972994,16.711625935,74.6783927212,4.3928466307,28.2786006525,64.1355608076,0.0003909634,2.97871,0.414
BMDS_BiTiAs-BiTiAs_35,3.1265526667,3917.0894575148,2,294.879665515,165.5648240185,10.5216300426,52.2836286374,4.7055265774,49.1824671044,135.9374344573,1.0120367717,3.83946,2.181
BMDS_NiCl2-NiCl2_699,1.1287121636,6343.9332236232,3.3333333333,1422.5344995146,285.3221059198,16.6137974823,69.2925114377,4.0760300846,13.0009566851,59.5100392347,0.0003627667,1.59702,6.083
BMDS_Bi2Zr-Bi2Zr_483,5.1161852186,5354.9074279892,2,308.3907283611,213.0330689336,9.9025096585,50.7221592699,5.072215927,86.6674939522,162.3109096637,0.2661222623,5.06657,4.373
BMDS_HfO2-HfO2_688,1.4494854074,8452.1181484519,2.6666666667,486.18989023,551.7048399773,11.8899021689,55.1704839977,2.2068193599,29.1032072103,18.2752228242,0.0009220367,1.8936,0.722
BMDS_AsMoBi-BiMoAs_121,3.5767338517,7811.9060086393,2,302.9621653291,156.1318176586,9.5570351847,49.8293035081,4.9829303508,62.1521949434,159.4537712258,0.2614377457,3.89399,5.253
BMDS_AsMoSb-SbMoAs_142,3.3328600801,6444.320949851,2,333.8255423721,184.3803867753,9.0615247202,48.5211544146,4.5286410787,50.7499777185,139.0939759884,0.7860427015,3.8848,4.828
BMDS_C2-C2_756,0.6684125495,0,2,379.8676901111,0,5.2764661424,34.5558652473,1.8512070668,9.278532275,27.8915198067,3.1840761549,0,0.827
BMDS_In2Se2-In2Se2_605,2.7603134949,262.3324599455,2.5,796.1841196789,216.3987607332,14.4373074092,65.3279277685,4.8179346729,40.4295189933,117.9985695319,0.0832931079,5.37919,1.875
BMDS_WAs2-WAs2_560,2.931727291,7855.3242757002,2,235.2074063357,238.2228859042,7.8748580474,45.2321935261,3.6185754821,70.4835787617,90.4643870522,1.5137707433,3.98693,4.848
BMDS_MoO2-MoO2_517,2.2307009569,8031.3948687131,2.6666666667,398.5733762102,401.4001377437,6.9200260759,45.2281845345,1.8091273814,32.5047536901,14.9818361271,0.000755876,2.45311,2.707
BMDS_CuS2-CuS2_386,1.9818766948,3274.881486381,2.6666666667,675.6442550378,192.5586126858,9.8832340368,54.051540403,3.5133501262,22.4892521626,65.5374927387,0.0090874152,2.54293,1.588
