bilayers,$\epsilon_{r}$,"$\overline{MV}_{int, NN}$",$\overline{M}_{int}$,$\overline{IE}_{int}$,PF,"$\overline{\alpha}_{int, NN}$",$\overline{BL}_{max}$,"$\overline{N}_{p, v}$",$\overline{BL}_{min}$,"$\overline{Gr}_{int, NN}$",a,$\overline{\kappa}_{int}$,"$\overline{C}_{int}^{p, g}$",$\rho$,"$\overline{P}_{int, NN}$",Y_Corr
BMDS_PbBr2-PbBr2_528,2.368802,0.000031603,1144.7367987916,4909.2756845093,2.2770169279,111.9757590993,1.1430806952,4,0.7138386096,12.9202798961,4.3067599654,0.0052542472,2.0414042236,37.3331890329,8.6135199307,0.069
BMDS_SeAsI-IAsSe_303,6.369508,4.82340520527478E-05,1480.0779754585,3858.1120084073,1.9289523592,11.0953241019,1.1431403427,4,0.7291841174,7.6519476565,3.8259738283,0.0171786225,0.8187583992,37.1105921488,3.8259738283,0.016
BMDS_GaI2-GaI2_391,3.66508,5.73554872016994E-05,1598.5569325632,4166.9505255183,2.1425568274,70.6612990741,1.1529527767,3.6666666667,0.6940944466,16.5289588478,4.1322397119,0.0185537563,0.8842992984,35.7574160643,4.1322397119,0.154
BMDS_CrO2-CrO2_489,5.628615,0.0293708386,143.8521972217,3449.0401811963,2.3482014693,203.9656154037,1.159354187,2.6666666667,0.681291626,26.2504009529,2.6250400953,0.0007019357,2.4097868075,24.6188786285,5.2500801906,0.56
BMDS_FeCl2-FeCl2_389,4.553893,0.0374796413,583.4142732523,4253.8924166277,2.0878249615,161.1528936606,1.1817785688,3.3333333333,0.6364428625,30.5986506951,3.3998500772,0.0003025867,1.628528187,22.1136935956,3.3998500772,0.087
BMDS_SbTe2-SbTe2_439,10.319573,9.35275879465049E-06,2980.0990610856,3584.8118254805,2.4604828388,20.6189567783,1.1468903217,3.6666666667,0.7062193566,4.1237913557,4.1237913557,0.0969090969,0.8330058538,43.0714897396,0,0.019
BMDS_GeO-GeO_737,2.66673,0.0168937397,1912.9114671867,3136.1656252826,1.3311320051,52.42301999,1,3,1,3.0214997112,3.0214997112,0.905343138,1.8703083213,21.563727825,3.0214997112,0.196
BMDS_HfSe2-HfSe2_690,2.691627,1.19587299995682E-05,1979.0997051212,3769.9044990264,1.6910518335,296.8649557682,1.1773495752,2.6666666667,0.6453008516,48.0752964807,4.0062747067,0.081728004,1.2860141809,33.3333054839,8.0125494134,0.009
BMDS_Zr2Te2-Zr2Te2_590,22.541971,2.40493566078599E-05,2699.5197338049,3247.2981825431,3.8709465721,276.4293862972,1.1901449104,2,0.8098550897,44.8263869671,3.7355322473,0.0877850078,0.7545775139,51.917168641,0,0.063
BMDS_SbWBi-SbWBi_48,136.290491,3.44604744340125E-05,2440.4601626411,2590.1388432235,3.8635128305,75.8336030872,1.1125431304,2,0.7771192003,30.3334412349,3.3703823594,0.5421260025,0.5544278981,82.0538036912,1.6851911797,0.218
