bilayers,density,packing_fraction,mean_wt_CN_3,std_dev_wt_CN_3,avg_s_valence_electrons,avg_p_valence_electrons,avg_d_valence_electrons,min_MeanBondLength,max_MeanBondLength,mean_BondLengthVariation,lattice_constant,Area,static_dielectric_constant,layer_thickness,avg_surf_NN_thickness,mean_surf_Z,mean_surf_period,mean_surf_group,mean_surf_mass,mean_surf_kai_P,mean_surf_kai_A,mean_surf_EA,mean_surf_IE1,mean_surf_Rvdw,mean_surf_Rcov,mean_surf_MP,mean_surf_BP,mean_surf_Cp_g,mean_surf_Cp_mol,mean_surf_rho,mean_surf_E_fusion,mean_surf_E_vapor,mean_surf_Thermal_Cond,mean_surf_Ratom,mean_surf_Mol_Volume,mean_surf_Elemental_polarizability,mean_surf_Z_NN,mean_surf_period_NN,mean_surf_group_NN,mean_surf_mass_NN,mean_surf_kai_P_NN,mean_surf_kai_A_NN,mean_surf_EA_NN,mean_surf_IE1_NN,mean_surf_Rvdw_NN,mean_surf_Rcov_NN,mean_surf_MP_NN,mean_surf_BP_NN,mean_surf_Cp_g_NN,mean_surf_Cp_mol_NN,mean_surf_rho_NN,mean_surf_E_fusion_NN,mean_surf_E_vapor_NN,mean_surf_Thermal_Cond_NN,mean_surf_Ratom_NN,mean_surf_Mol_Volume_NN,mean_surf_Elemental_polarizability_NN,Y_Corr
BMDS_PbBr2-PbBr2_528,37.3331890329,2.2770169279,0.6666666667,0.4714045208,2,4,10,0.7138386096,1.1430806952,0.287845435,4.3067599654,16.0629914551,2.368802,3.68803,3.0956607284,150.7365987875,17.2270398614,73.2149194111,344.1273482718,12.7480094975,11.563650507,1397.9742847546,4909.2756845093,7.9675059359,5.0389091595,1144.7367987916,1429.8443084982,2.0414042236,325.9786617778,13.4370910919,24.9792077991,63.4170404899,0.0052542472,404.8354367435,0.0001102961,90.4419592725,202.4177183717,8.6135199307,12.9202798961,548.23331655,2.7132587782,3.5789175312,1246.8070099706,1827.3582533006,0.7321491941,1.2058927903,1441.9463040009,7278.4243414516,1.4815254281,210.3852243076,35.4015669152,4.4359627643,702.755557347,1.5150320206,258.4055979214,3.1603E-05,111.9757590993,0.069
BMDS_SeAsI-IAsSe_303,37.1105921488,1.9289523592,0.7239863663,0.3903422242,2,4,10,0.7291841174,1.1431403427,0.3023283322,3.8259738283,12.6769365404,6.369508,3.66428,3.0806695614,202.7766128973,19.1298691413,65.0415550803,488.1942604847,10.1770903831,9.0254722608,1129.4274740994,3858.1120084073,7.5754281799,5.2033244064,1480.0779754585,1750.0004290416,0.8187583992,208.2477554716,18.9003107116,29.6895569072,79.9628530104,0.0171786225,439.9869902488,9.82854416739142E-05,125.8745389494,76.519476565,3.8259738283,7.6519476565,201.5461797141,1.8364674376,0.5662441266,831.0015154959,234.9147930546,0.4973765977,0.6121558125,2690.233497334,1643.6383566162,0.4399869902,113.9757603436,3.0110414028,76.2899181353,43.9986990249,1.9034602393,3.8259738283,4.82340520527478E-05,11.0953241019,0.016
BMDS_GaI2-GaI2_391,35.7574160643,2.1425568274,0.6666666667,0.4714045208,2,3.6666666667,10,0.6940944466,1.1529527767,0.2857163923,4.1322397119,14.787788119,3.66508,3.59268,2.9864083155,219.0087047327,20.6611985597,70.2480751029,527.2737872433,10.9917576338,9.7479534805,1219.8371629641,4166.9505255183,8.1818346296,5.6198460082,1598.5569325632,1890.0864442405,0.8842992984,224.9178075208,20.413264177,32.0661801646,86.3638099795,0.0185537563,475.2075668729,0.0001061531,135.9506865228,90.9092736626,4.1322397119,16.5289588478,239.1616378078,3.5124037551,2.4917405463,1100.4154352891,1775.2101802486,0.4545463683,0.5371911626,346.8602014201,8345.47132223,0.6570261142,117.355607819,3.9834790823,8.9669601749,971.7374906593,1.6591355667,86.7770339507,5.73554872016994E-05,70.6612990741,0.154
BMDS_CrO2-CrO2_489,24.6188786285,2.3482014693,0.6666666667,0.4714045208,1.6666666667,2.6666666667,1.6666666667,0.681291626,1.159354187,0.3496205156,2.6250400953,5.9676684062,5.628615,2.31821,1.9080001198,21.0003207623,5.2500801906,42.0006415246,41.9990665005,9.0301379278,9.476394744,370.1306534353,3449.0401811963,3.9900609448,1.680025661,143.8521972217,236.7786165948,2.4097868075,77.1184279193,3.7511822962,0.5827589012,8.953749261,0.0007019357,126.0019245737,0.0293899489,13.912712505,42.0006415246,5.2500801906,26.2504009529,94.492780798,4.6725713696,5.1450785868,201.3405753084,1735.1515029841,1.4175216515,1.7325264629,5578.7352105018,7491.3394239272,1.2311438047,15.8237416944,14.9916039842,53.2305630522,882.2473630886,2.4589606336,309.7547312437,0.0293708386,203.9656154037,0.56
BMDS_FeCl2-FeCl2_389,22.1136935956,2.0878249615,0.6666666667,0.4714045208,2,3.3333333333,2,0.6364428625,1.1817785688,0.3007971339,3.3998500772,10.0103488679,4.553893,2.42753,2.3078597954,57.7974513129,10.1995502317,57.7974513129,120.534884788,10.743526244,9.7541698716,1186.5476769526,4253.8924166277,5.9497376351,3.3998500772,583.4142732523,812.938151966,1.628528187,115.4215102718,10.9271181482,10.8795202471,34.6784707877,0.0003025867,268.588156101,0.0375037462,49.6378111275,30.5986506951,3.3998500772,30.5986506951,69.3297427748,4.5218006027,3.6344397326,1133.1700307401,1661.5067327413,0.9859565224,0.8159640185,5573.7142166076,9842.1919900666,0.1019955023,30.0852733334,15.8433013599,36.0384108186,1153.5691312035,2.7263771753,261.7884559466,0.0374796413,161.1528936606,0.087
BMDS_SbTe2-SbTe2_439,43.0714897396,2.4604828388,0.6666666667,0.4714045208,2,3.6666666667,10,0.7062193566,1.1468903217,0.2839265646,4.1237913557,14.7274480668,10.319573,3.68144,3.0094532104,214.4371504946,20.6189567783,65.9806616907,523.3276800951,8.6599618469,8.8991417455,784.3451158477,3584.8118254805,8.4950101927,5.6495941573,2980.0990610856,5200.1008994948,0.8330058538,106.1051515813,25.7324580594,72.1663487242,208.7875563374,0.0969090969,507.2263367469,8.4327409432014E-05,156.7040715153,4.1237913557,0,4.1237913557,21.2148446292,0.2061895678,0.7175396959,358.7698479429,145.569834855,0,0.1237137407,746.9010903382,2470.1510220439,0.0206189568,2.0618956778,1.8845726495,9.0723409825,71.5065421072,0.9051722026,41.2379135567,9.35275879465049E-06,20.6189567783,0.019
BMDS_GeO-GeO_737,21.563727825,1.3311320051,0.9898145183,0.0101854817,2,3,5,1,1,0.4721012408,3.0214997112,7.9061840531,2.66673,0.98922,2.0054214966,60.4299942248,9.0644991337,45.3224956686,133.9119607523,8.2335867131,8.4662421909,392.7949624613,3136.1656252826,5.4840219759,2.7797797343,1912.9114671867,4809.0189404112,1.8703083213,79.4654424056,10.2005830251,48.3772318767,510.1966934165,0.905343138,261.3597250223,0.0169349711,68.4369684596,36.2579965349,3.0214997112,3.0214997112,85.5697782723,2.1603722935,2.4413717667,33.2364968237,833.782845317,0.8913424148,0.8460199191,1747.3332830107,4536.4796664572,0.9034284137,9.3001761112,5.8828599378,47.7064589408,499.8906600514,0.904535189,116.3277388828,0.0168937397,52.42301999,0.196
BMDS_HfSe2-HfSe2_690,33.3333054839,1.6910518335,0,0,2,2.6666666667,7.3333333333,0.6453008516,1.1773495752,0.3327848897,4.0062747067,16.0503880822,2.691627,3.10023,2.5328656012,136.2133400286,16.0250988269,64.1003953076,316.3354508428,10.2160005021,9.7512726362,781.223567811,3769.9044990264,7.6119219428,4.7274041539,1979.0997051212,3838.0111690406,1.2860141809,101.6111453866,19.3062378117,21.6338834163,105.445150281,0.081728004,412.6462947925,6.56428110696563E-05,115.7813390243,152.2384388555,8.0125494134,48.0752964807,398.7445215601,5.0078433834,5.1039939764,781.223567811,1131.7726046493,1.3220706532,1.8428863651,8060.6247099267,15696.5843009407,0.7091106231,1.4703028174,34.0172785348,80.5261216051,2542.9828700924,0.8397151785,420.6588442059,1.19587299995682E-05,296.8649557682,0.009
BMDS_Zr2Te2-Zr2Te2_590,51.917168641,3.8709465721,0.7110788619,0.2889211381,2,2,6,0.8098550897,1.1901449104,0.2808761769,3.7355322473,12.0848868068,22.541971,6.40437,2.8367574616,194.2476768575,18.6776612363,59.7685159562,474.0558520724,7.8446177192,8.0612785896,710.4982334289,3247.2981825431,7.6951964294,5.1176791787,2699.5197338049,4710.5061637949,0.7545775139,96.115244722,23.3097212229,65.3718143271,189.1299976788,0.0877850078,459.470466413,7.63878989242197E-05,141.9502253959,44.8263869671,0,44.8263869671,133.2856583484,2.8763598304,3.1303760232,556.9678580665,856.183991072,0.635040482,1.0085937068,5249.6928883644,12779.2558178765,0.2839004508,1.3821469315,1.012329239,13.0743628654,2016.7017943283,0.7601808123,310.0491765226,2.40493566078599E-05,276.4293862972,0.063
BMDS_SbWBi-SbWBi_48,82.0538036912,3.8635128305,0.5775799177,0.3830900464,2,2,8,0.7771192003,1.1125431304,0.3125288918,3.3703823594,9.8377104373,136.290491,4.14623,2.8438165023,225.8156180819,18.5371029769,50.5557353915,557.3608048557,6.8587281014,6.7306535718,327.6011653368,2590.1388432235,6.9598395722,4.8870544212,2440.4601626411,6230.1517914101,0.5544278981,85.5234523706,27.7668950682,51.5668500993,416.1916656545,0.5421260025,465.1127656016,6.66476259665881E-05,153.3523973542,53.9261177509,1.6851911797,30.3334412349,146.9830487713,1.0953742668,1.7761915034,62.6891118854,220.7600445428,0.3875939713,0.168519118,10013.1026554601,13412.4365993596,0.1432412503,3.7242725072,37.1129653509,66.3965324808,1008.0645117943,5.3223393029,185.3710297688,3.44604744340125E-05,75.8336030872,0.218
