bilayers,PF,$\overline{EA}_{int}$,"$\overline{N}_{p, v}$",$\overline{Gr}_{int}$,A,$\overline{\alpha}_{int}$,d$_{layer}$,"$\overline{M}_{int, NN}$",$\rho$,"$\overline{C}_{int}^{p, g}$","$\overline{MV}_{int, NN}$","$\overline{AM}_{int, NN}$",Y_vdw
BMDS_GaI2-GaI2_391,2.1425568274,1219.8371629641,3.6666666667,70.2480751029,14.787788119,135.9506865228,3.59268,346.8602014201,35.7574160643,0.8842992984,5.73554872016994E-05,239.1616378078,1.172299
BMDS_CdBr2-CdBr2_381,2.0117242106,1321.1360928742,3.3333333333,69.1907380741,14.3459093589,85.4709117386,3.13785,1336.6836587238,32.0877630989,1.9292005792,5.13435976944169E-05,132.304901328,1.178371
BMDS_TiSe2-TiSe2_714,1.6039541275,747.944252399,2.6666666667,61.3697848122,14.7121063026,110.8491738171,2.93488,5550.1299139555,22.6157348397,1.2312313078,2.21084649786037E-05,119.2606699479,1.184491
BMDS_IAsS-IAsS_21,1.6258732254,950.5289455018,4,63.3430032342,12.7634217585,100.3890627014,3.23637,2696.4732579797,28.6333883503,1.7697651207,0.000030491,183.3779943629,1.288393
BMDS_BiWAs-AsWBi_287,3.7635764157,252.0977044808,2,48.4803277848,9.0465876915,96.9606555695,4.11395,8419.4169252884,86.3980757169,1.0633351894,1.14155011823872E-05,352.0266489195,3.54705
BMDS_AsWBi-BiWAs_156,3.3589203337,301.4304501375,2,49.5773766674,9.4605815006,158.6476053355,3.93035,10413.2321952102,77.1086385037,0.4032293302,3.90603624969828E-05,83.0930053579,3.294562
BMDS_MoTe2-MoTe2_520,3.2430091893,675.9777198168,2.6666666667,56.8645821087,10.9391867257,135.0533825081,3.61888,7724.1294300038,52.8813785645,0.7179153491,3.95066684199999E-05,110.048959544,2.423137
BMDS_BrSbTe-TeSbBr_117,1.8602354265,805.9085145466,4,67.7946174172,15.5480261597,161.0122163658,3.51378,767.4350691623,33.2007109101,0.8559070449,9.60988701888356E-06,21.7980880814,1.115005
BMDS_VH2-VH2_558,1.8691639734,189.2158138102,0,2.5991183216,5.8505688687,11.7142262753,2.24865,5637.4616482978,15.7489535088,37.1777884717,0.0291144397,129.7833346218,2.515182
BMDS_BrSbSe-SeSbBr_280,1.8898017041,773.275109108,4,63.4482140807,13.618641721,114.6033366832,3.68175,1624.9880728732,34.5189439792,1.272929795,7.12206203055364E-06,169.7239726658,1.212401
BMDS_BrAsTe-BrAsTe_38,1.6644839934,1025.8923891012,4,65.7623326347,13.7568194915,117.575079559,3.31146,2374.4984796224,32.2095388727,1.34713142,3.96467153868842E-05,113.5203335526,1.263543
BMDS_BiNbAs-BiNbAs_34,3.2807434324,294.1047194384,2,52.1462268508,10.4663728133,135.580189812,3.88995,6719.2151504785,56.5535253298,0.7839316103,2.21934341476898E-05,233.0220198714,2.63166
BMDS_ClHfBr-BrHfCl_267,2.5901007186,1110.0245083377,3.3333333333,58.1343704305,10.1272246964,71.8130458259,3.56639,7660.7421552005,48.3151514304,1.6209230344,4.17541566444951E-05,337.131473133,1.849284
BMDS_Ga2O2-Ga2O2_599,2.3009408885,437.6960850752,2.5,49.6676408596,8.3451691308,16.4524060347,3.97564,770.1898983547,32.4043227852,2.8496808943,0.0347182739,166.7702794053,1.67862
BMDS_Ru2S2-Ru2S2_584,2.3790088254,693.3115908892,2,55.4649272711,10.4070358659,67.2512243163,4.38874,7691.0441400521,39.274091504,2.4543230317,2.83911096469127E-05,239.2098316465,4.473574
BMDS_AsVBi-BiVAs_138,3.2465039757,307.1401012384,2,50.5164640195,9.8220871744,161.6526848623,3.69187,5518.4185294875,53.3525000666,0.4108672407,4.3875232883048E-05,532.2377603685,2.735081
BMDS_Ti2I2-Ti2I2_659,2.9206286973,1144.743766496,2.5,65.923590889,15.0375678222,127.5815376616,4.13786,6026.7734576549,36.871709436,0.8298616735,5.8431568677376E-05,309.1932748443,2.069311
BMDS_GeTe2-GeTe2_396,2.3956991882,736.6795124046,3.3333333333,61.9709369005,12.9914981105,147.1809751387,3.44687,1892.9797312968,41.8423545192,0.7823830784,2.63492677333796E-05,210.1763690898,1.418618
BMDS_SeNbTe-TeNbSe_134,2.6050333487,682.0456154681,2.6666666667,57.3750254863,11.1362502048,136.2656855299,3.5052,7269.9177605837,42.2859977738,0.7243596968,3.44537028045063E-05,121.9151158741,2.268062
BMDS_ZrTe2-ZrTe2_571,2.8463816864,747.2525476013,2.6666666667,62.8603615227,13.3670877712,149.2933586165,3.73186,5521.2612788962,42.4339597846,0.7936120642,2.52934379677045E-05,140.180570582,1.545046
BMDS_ZrSb2-ZrSb2_469,4.4560370239,339.4781561736,2,49.3427552578,9.3709502483,141.449231739,4.89933,4027.0925227795,60.2089206142,0.6809300226,1.37172859616656E-05,100.4486916368,2.976289
BMDS_BiNbSb-SbNbBi_167,4.1662384795,345.5102659135,2,50.2195153944,9.7072654037,143.9626107973,4.47237,6181.0849140966,68.6429355216,0.6930293124,2.45740828663264E-05,96.6009206256,2.798543
BMDS_HgBr2-HgBr2_402,1.8293709726,1344.9684052632,3.3333333333,70.4388875215,14.8683958159,87.0127434089,3.17408,130.4362458339,40.7314175462,1.9640019227,4.47908455357201E-05,500.0580929069,1.251815
BMDS_NbSe2-NbSe2_522,2.4494508771,677.6187498571,2.6666666667,55.5994871678,10.457366983,100.4265736968,3.35665,7839.5276906542,39.9906440651,1.1154647113,1.92652223036288E-05,48.4632929898,2.304287
BMDS_AsMoBi-BiMoAs_317,3.9845808347,296.0138207878,2,48.6864836822,9.123515427,155.7967477831,4.09181,7632.742335139,69.2392710988,0.3959834006,3.90627887410265E-05,366.9026393354,2.896292
BMDS_Os2O2-Os2O2_610,2.8218803629,390.2576733541,2,44.2845586785,6.6343907346,14.6692600622,5.10531,8998.6223234671,95.6075835876,2.5408265542,0.0309648429,482.2328268304,4.006603
BMDS_TeWSe-SeWTe_300,2.7847735049,669.4827063777,2.6666666667,54.9319143695,10.2078869013,99.2207703298,3.49251,10989.8161185393,64.0843143837,1.102071532,2.3466227169702E-05,360.0786986918,2.70661
BMDS_HfO2-HfO2_397,2.0601868825,456.870288625,2.6666666667,51.8434370071,9.0921626329,17.1731385086,1.9273,7942.4145494859,41.3650564725,2.9745171983,0.0362340262,526.504449084,1.199007
BMDS_SbMoBi-SbMoBi_7,4.0958693326,327.7316054882,2,50.5758650445,9.8455833811,153.4134573016,4.14548,7323.081803249,67.9667649517,0.5546486533,3.52058596574556E-05,234.099495014,2.738606
BMDS_SMoTe-TeMoS_356,2.9306802853,640.487515515,2.6666666667,53.8790759634,9.8204746316,127.9628054131,3.37693,7318.5969346446,43.71803534,0.680223334,3.74324880255777E-05,104.2711654793,2.47447
BMDS_IHfCl-IHfCl_192,2.8469183057,1149.6804500551,3.3333333333,60.6785707884,11.0333438641,84.7715327191,3.65731,7948.0896745465,51.5108276388,1.2367720458,0.0196846441,346.0945058023,1.727246
BMDS_TeNbS-SNbTe_119,2.4898749358,706.711829818,2.6666666667,56.5369463854,10.8129754941,68.5510474923,3.35722,8344.9946288569,36.7015595944,2.5017598776,1.95017129438277E-05,214.9866856134,2.213011
BMDS_SAsBr-BrAsS_157,1.3343938036,1206.2329532243,4,63.17301357,11.9589619999,78.037252057,3.13695,3062.7763402571,24.4603414994,1.7614122607,4.65547949414469E-05,18.5148954595,1.228167
